问题,回答
一些品牌对单个实体经营的店铺数量有限制吗？,一些品牌限制单个实体经营的店铺数量以减少集中风险，例如温迪的特许经营者可以经营多达400个店铺，而Taco Bell则将有机增长限制在225-250个店铺。
什么是特许经营者交易倍数？,特许经营者交易倍数是指特许经营者在私人市场上购买单位的价格。
2020年特许经营者交易倍数的趋势如何？,根据我们对私人特许经营者交易倍数的分析，数据集中的平均倍数在2020年下降到多年低点，尽管估值在2021年大多恢复。
哪些品类的特许经营者交易倍数交易在以上平均水平？,鉴于品类和品牌的不同，需要注意到披萨、鸡肉和咖啡品类的特许经营者交易倍数交易在平均水平以上。
2021年家庭食品和外出就餐的通货膨胀率是多少？,2021年家庭食品和外出就餐的通货膨胀率为7.0%。
餐厅一般每年平均会涨价多少？,大多数上市餐厅每年平均会涨价2.5-3%，通常是为了覆盖结构性成本增加，正常商品通货膨胀率为1-2%，劳动力通货膨胀率为3-5%。
哪些餐厅类型的涨价幅度高于其他类型的餐厅？,快餐餐厅的涨价幅度高于全服务餐厅，并且也面临着比全服务餐厅更高的工资通货膨胀率。
数据来源是什么？,数据来源包括劳工统计局和瑞士信贷。
餐厅涨价对消费者的影响如何？,餐厅涨价对消费者的影响相对较小，公司一直在表示目前消费者的反弹有限。
为什么餐厅涨价对消费者影响相对较小？,餐厅涨价对消费者影响相对较小的原因可能有多种，包括：1）更广泛的CPI也处于40年高位；2）最近家庭食品的通货膨胀率比外出就餐更快（使得杂货价格相对不那么有吸引力）；3）消费者储蓄率较高，消费者在其他体验上的可支配收入较少（例如旅行/休闲）；4）工资增长处于多年高位；5）外出就餐的需求有很大的积压（在2021年，消费者一直在交易更昂贵的物品，并且对开胃菜/酒精饮料有更大的依恋）。
投资者对餐饮涨价的态度如何？,投资者对餐饮涨价持谨慎态度，特别是在低收入消费者中可能会出现消费者弹性的延迟，随着通货膨胀水平持续存在并超过收入增长，消费者的钱包可能会收紧。
杂货店的价格上涨会对餐饮行业产生什么影响？,尽管餐厅的价格上涨可能会导致消费者更有可能转向杂货店，但杂货店的价格也在加速上涨，几乎所有公开的“家庭食品”公司都暗示未来会进一步提高价格，因此家庭食品与外出就餐之间的相对价值更加狭窄。
餐饮行业的外出就餐次数有何变化？,行业数据表明，外出就餐的总次数没有出现明显的变化。
消费者会减少食物消费吗？,没有预期食物消费会减少。
2022年餐饮行业价格会有什么变化？,预计2022年餐饮行业价格将会有中单位数到高单位数的提高。
Shake Shack在10月份有何举措？,Shake Shack在10月份进行了3.5%的涨价（包括第三方平台上的10%溢价），并表示将在市场和渠道上探索其他涨价机会。
Domino的计划有哪些变化？,Domino计划对国家价值平台进行调整，$7.99的自取优惠将仅限在线下单，订单中的鸡翅数将减少20%（从10个到8个）。
Darden和Texas Roadhouse有何计划？,Darden进行了额外的涨价，计划第三财季的涨价约为3.5%，第四财季的涨价为4%以上；Texas Roadhouse在10月底进行了约4.2%的菜单价格调整，导致2021年第四季度的有效价格约为5.3%，2022年第一季度的有效价格约为5.9%，并计划评估进一步的价格上涨。
The Cheesecake Factory计划进行哪些价格调整？,The Cheesecake Factory计划进行约3%的涨价，并表示如果商品价格保持高水平，可能会额外涨价1.5-2%，总计2022年涨价4.5-5%。
Bloomin’ Brands在11月底有何举措？,Bloomin’ Brands在11月底进行了约3%的涨价，这是自2019年末以来的首次实质性涨价，并表示计划监测通货膨胀趋势以进行进一步的潜在定价行动。
食品分销商如何应对通货膨胀？,食品分销商表现出自信，认为他们有能力通过价值链传递通货膨胀成本，指出合同客户已经设定了成本加协议，并且他们在面对独立餐厅客户时遇到的抵制有限，这些客户也通过价格上涨成功地传递了成本。
食品分销商是否会利用价格抵消通货膨胀？,我们感觉食品分销商也可能利用价格来抵消通货膨胀的一些成本。
餐厅面临哪些挑战？,餐厅面临相对有限的客户抵制，面临不断上涨的工资压力。这将对餐厅客户产生下游影响，突显出我们的观点，即并非所有食品成本通货膨胀都是短暂的。
食品分销商面临哪些成本压力？,食品分销商面临的成本通货膨胀已经显著加剧，由于需求上升、劳动力短缺、运输延迟和极端天气等因素共同推动。
什么因素推动了成本和价格的加速上涨？,商品通货膨胀已经显著加剧，由需求上升、劳动力短缺、运输延迟和极端天气等因素共同推动。在理解成本加速上涨的驱动因素以及成本是否会继续加速的程度上至关重要。
"['通货膨胀对餐饮行业的影响是什么？', '通货膨胀对餐饮行业的影响主要是成本上升，如商品成本和劳动力成本，这可能会导致餐厅涨价。但餐厅涨价也可能会面临风险，如消费者的抵制。']","['成本上升的因素有哪些？', '成本上升的因素主要是商品成本和劳动力成本。其中，商品成本上升是由于需求上升、劳动力短缺、运输延迟和极端天气等因素共同推动，而劳动力成本上升则是由于底层的工资和福利增加。']"
餐厅涨价会面临哪些风险？,餐厅涨价会面临消费者的抵制风险，特别是在当前成本上升的环境下。但如果餐厅不涨价，也会面临保持盈利的挑战。
餐厅是否应该采取谨慎的成本增长策略？,对于餐厅来说，采取谨慎的成本增长策略存在风险，因为如果消费者的弹性不够强，餐厅可能就没有机会再次涨价。但如果餐厅采取高风险的涨价策略，面临的风险更大。
消费者是否会接受餐厅的涨价？,当前，消费者在各个消费渠道都面临着价格上涨的压力，因此餐厅涨价相对来说可能被消费者接受。同时，餐厅的相对价值也会得到保持。
哪些餐厅具有更大的定价权？,那些品牌知名度高、品质好、服务好的餐厅，具有更大的定价权。这些餐厅的消费者更加愿意为他们的品牌和体验支付更高的价格。
劳动力问题对餐饮行业的影响是什么？,劳动力问题对餐饮行业的影响主要表现在成本上升、营业时间缩短以及店铺关闭等方面。此外，由于员工流失和劳动力短缺，餐饮行业长期存在结构性问题。
劳动力市场何时能恢复正常？,劳动力市场何时能恢复正常是一个难以回答的问题，但一些公司表示，随着员工数量逐渐恢复到疫情前的水平，劳动力市场正在逐渐稳定。
劳动力问题对餐饮行业的长期影响是什么？,劳动力问题对餐饮行业的长期影响主要表现在员工流失和劳动力短缺，以及劳动力成本的上升。这些问题可能会导致餐饮行业存在结构性问题，而且这些问题可能会长期存在。
疫苗接种率提高、移动性改善和儿童重返学校对餐饮行业有什么影响？,疫苗接种率提高、移动性改善和儿童重返学校对餐饮行业有利，但Omicron变种病毒的传播对餐饮行业的影响也比较大，尽管这主要归因于劳动力问题而非劳动力短缺。
餐厅招聘情况如何？,餐厅在2021年下半年的招聘情况有所好转，但员工流失率仍处于高位。
餐饮行业的劳动力市场会怎样发展？,由于部分前餐饮行业员工不会重返餐饮行业，我们预计劳动力市场将在可预见的未来保持紧张状态，而劳动力成本的压力也将继续。
餐饮行业会采取哪些措施来优化劳动力效率？,我们预计餐饮行业将采取越来越多的技术投资来优化劳动力效率，降低所需劳动力的数量。这是因为在员工流失率超过100%的行业中，劳动力成本不断上涨。
餐饮行业的技术投资会有什么影响？,餐饮行业的技术投资将有助于提高劳动力效率。
2021年餐饮业就业情况如何？,2021年前7个月，随着经济复苏，餐饮业每月新增约20万个工作岗位，但增长速度已经放缓。整个2021年，餐饮业共新增约22.5万个工作岗位。
餐饮业就业情况是否正在恢复？,餐饮业已经恢复了约89%的失业岗位，但就业人数仍然比疫情前低了约5%。快餐店的就业人数已经恢复到疫情前的99%，而全职餐厅的就业人数也已经恢复到疫情前的95%。
餐饮行业的平均时薪增长如何？,2021年餐饮行业的平均时薪增长率为8.5-9%，超过了私营非农工资的增长率。
快餐店和全职餐厅的平均时薪增长如何？,在过去的五年中，快餐店的平均时薪增长率比非农工资增长率高了约200个基点，而全职餐厅的平均时薪增长率比非农工资增长率高了约100个基点。
餐饮行业的平均时薪增长如何与其他行业相比？,相对于其他行业，餐饮行业的平均时薪增长率较高。
星巴克和Chipotle的员工薪资有何变化？,星巴克在2020年12月至2022年1月逐步提高了员工薪资，计划在2022年夏季再次提高平均时薪至17美元，Chipotle在2021年中期提高了员工薪资至平均每小时15美元。
麦当劳和Jack in the Box的员工薪资有何变化？,麦当劳在2021年中期实施了平均10%的加薪，将入门级薪资范围提高至至少11-17美元，而Jack in the Box预计在2022财年通胀率将达到8-10%。
Wendy’s的员工薪资有何变化？,Wendy’s预计2021年通胀率将达到7-8%。
大型零售商如Walmart和Target对薪资的影响是什么？,Walmart和Target在2015年至2018年逐步提高了员工的最低时薪，这个举措对其他零售和餐饮行业产生了影响，导致了最低时薪的提高。
星巴克、Chipotle、麦当劳和Taco Bell的员工薪资有何变化？,星巴克计划在2022年夏季将最低时薪提高至15美元，Chipotle在2021年中期提高了员工薪资至平均每小时15美元，麦当劳计划在2024年达到平均每小时15美元的薪资水平，Taco Bell承诺在2024年中期将公司餐厅的平均最低时薪提高至15美元。
Darden的员工薪资有何变化？,Darden计划加快将最低时薪提高至12美元的计划。
Sam’s Club和Costco的最低时薪是多少？,Sam’s Club在2021年9月将最低时薪提高至15美元，Costco在2021年2月将最低时薪提高至16美元，之后在2021年10月将其提高至17美元。
Macy’s、Ikea、Walgreens和CVS的员工薪资有何变化？,Macy’s计划在2022年5月将最低时薪提高至15美元，Ikea将最低时薪提高至16美元，Walgreens计划将最低时薪提高至15美元，计划从2021年10月开始逐步提高，并在2022年11月全面实施，CVS也宣布计划提高最低时薪。
Hobby Lobby、Target、Best Buy和Amazon的员工薪资有何变化？,Hobby Lobby计划在2022年1月为全职员工将最低时薪提高至18.50美元，而在2021年10月已将兼职员工的最低时薪提高至13美元，Target在2020年7月将最低时薪提高至15美元，Best Buy在2020年8月将最低时薪提高至15美元，Amazon提供15美元的最低时薪和18美元以上的平均时薪。
2022年有多少州计划提高最低时薪？,2022年有25个州计划提高最低时薪，与近年来提高最低时薪的州数目大致相同。
预计2022年平均最低时薪将增长多少？,预计2022年平均最低时薪将增长3.5-4%，与过去几年的平均增长率相当。
有越来越多的城市和州在提高最低时薪方面采取了什么措施？,越来越多的城市和州正在采取措施提高最低时薪。
哪些公司的员工薪资有所变化？,CMG、SHAK、SBUX、JACK、QSR、DPZ、YUM、PZZA和WEN的员工薪资有所变化。
什么是Fair Workweek法规？,Fair Workweek法规旨在通过要求餐厅提前两周安排员工的工作时间表，补偿最后一分钟的时间表更改并在班次之间给予足够的休息时间来减少时间表的不可预测性。
哪些行业适用于大多数预测调度法规？,大多数预测调度法规特别适用于某些零售和快餐公司。
哪些城市和州实施了预测调度法规？,San Francisco、San José、New York City、Seattle、Emeryville、Philadelphia、Chicago、Washington、DC和Oregon实施了全面的法规；New Hampshire、Vermont和Berkeley实施了权利请求法规。
哪些城市和州正在考虑实施类似的预测调度法规？,Los Angeles、Sacramento和Boston正在考虑实施类似的预测调度法规。
Harri在2020年进行的一项研究中发现了什么？,"在Harri对代表5,300个地点和45,000名员工的运营商进行的2020年3月的预测调度法规研究中：37%的运营商看到劳动力成本上升了3-9%；41%的运营商减少了员工工时；65%的运营商没有足够的技术来管理合规性；作为对调度立法的回应，12%的运营商取消了工作，37%的运营商跨越了城市和州的边界。"
Fight for $15运动是什么？,Fight for $15运动是为了争取更高的工资、更好的工作条件以及在没有受到管理层报复的情况下组建工会而由QSR员工在纽约市发起的罢工，自那以后，全国范围内发生了许多其他罢工。
提高联邦最低工资至$15的支持者和反对者分别强调了什么？,支持者强调提高工资将有助于刺激经济，因为工人有额外的收入可以支配，改善薪资不平等问题；反对者则担心提高工资将导致企业成本上升，进而导致失业率上升。
根据经济政策研究所的分析，将联邦最低工资逐步提高到$15将会对多少工人产生影响？,根据经济政策研究所2021年1月的分析，将联邦最低工资逐步提高到$15将会影响近3200万工人（约1100万人年龄在16-24岁之间）。
提高联邦最低工资至$15将会对多少美国工人产生影响？,提高联邦最低工资至$15将会影响约26.2万美国工人（占美国劳动力的21%），每名受影响的工人平均每年增加约3300美元的收入，使最低薪资的工人获得1070亿美元的额外收入。
提高联邦最低工资至$15的支持者和反对者分别强调了什么？,支持者强调提高工资将有助于刺激经济，因为工人有额外的收入可以支配，改善薪资不平等问题；反对者则担心提高工资将导致企业成本上升，进而导致失业率上升，特别是对于经营利润率较低的中小企业而言，成本上升的影响更大。
国会预算办公室在2021年2月的分析中提到了什么？,国会预算办公室在2021年2月的分析中指出，将联邦最低工资逐步提高到$15将会产生相应的成本和收益，逐步提高联邦最低工资到$15将会导致近1.4万名工人失业，但同时还将有900万名工人的收入得到提高。
餐饮业是否支持联邦最低工资提高至$15？,根据调查，大约90%的餐饮业者不支持将联邦最低工资提高至$15，82%的餐饮业者认为这将影响他们从疫情中恢复的能力。
餐饮业者对于提高联邦最低工资至$15的看法如何？,根据餐饮业者的调查，大约一半的餐饮业者认为$15的最低工资太高，但他们不反对提高最低工资，30%的餐饮业者表示支持提高最低工资。
“Fight for $15”运动在餐饮业的影响如何？,餐饮业对于“Fight for $15”运动的看法不一，其中大约一半的餐饮业者认为提高最低工资至$15太高，但不反对提高最低工资，另外30%的餐饮业者表示支持提高最低工资。
提高联邦最低工资至$15会对餐饮业的恢复产生什么影响？,根据调查，82%的餐饮业者认为提高联邦最低工资至$15将会影响他们从疫情中恢复的能力，而只有2%的餐饮业者认为提高最低工资将对他们的恢复产生积极影响。
提高最低工资至$15将对餐饮业产生什么影响？,根据调查，餐饮业者对于提高最低工资至$15的影响有不同的反应，79%的餐饮业者表示会涨价，而其他的反应包括提高工资（包括已经达到$15/hour的员工）、缩短营业时间、裁员、考虑关闭餐厅等。
美国各州对于最低工资的规定如何？,2022年，30个州（代表大约65%的餐厅）的最低工资高于联邦最低工资水平，20个州的最低工资（或未采用州最低工资）相当于联邦的$7.25。
如何才能实现最低工资达到$15/hour？,为了实现最低工资达到$15/hour，41个州的最低工资需要至少增加25%，其中15%的餐厅将增加25-50%的最低工资，18%的餐厅将增加50-100%的最低工资，35%的餐厅将增加超过100%的最低工资。
餐饮业对于提高最低工资至$15的看法如何？,餐饮业对于提高最低工资至$15的看法不一，有些餐饮业者表示会涨价，而另一些则表示会缩短营业时间、裁员或考虑关闭餐厅。
2022年，美国各州最低工资将会有怎样的涨幅？,2022年，为了将最低工资提高至$15/hour，41个州的最低工资需要至少增加25%，其中35%的餐厅将增加超过100%的最低工资。
提高最低工资至$15/hour对快餐行业有什么影响？,如果联邦最低工资提高至$15/hour，我们覆盖的快餐行业将会受到40-45%的平均最低工资增长。JACK和SHAK的最低工资风险最小，因为它们集中在更高工资的州。
最低工资提高至$15/hour对于餐饮业者的反应如何？,根据调查，餐饮业者对于提高最低工资至$15的影响有不同的反应，79%的餐饮业者表示会涨价，而其他的反应包括提高工资（包括已经达到$15/hour的员工）、缩短营业时间、裁员、考虑关闭餐厅等。
美国各州对于最低工资的规定如何？,2022年，30个州（代表大约65%的餐厅）的最低工资高于联邦最低工资水平，20个州的最低工资（或未采用州最低工资）相当于联邦的$7.25。
What are some ways that restaurants are using technology to ease labor headwinds?,"Restaurants are using automate scheduling tools, labor deployment software, inventory management, and digital utilization, including mobile order & pay and kiosks, to reduce transaction time and improve labor allocation. They are also investing in employee facing technology to reduce administrative and repetitive tasks and improve the overall employee value proposition."
What benefits are restaurants offering to attract and retain employees?,"Restaurants are offering mental health assistance programs, tuition assistance, benefit coverage, resource groups, internal promotion paths, and bonus opportunities to attract and retain employees."
What percentage of restaurant operators plan to deploy new technology to enhance efficiency and counteract wage inflation?,"Based on a 2021 survey by Harri, 61% of respondents indicated they would deploy new technology to enhance efficiency and counteract wage inflation, a significant increase from 26% in 2019."
What are some examples of technology that restaurants plan to deploy?,"Among operators who plan to deploy more technology, they would institute predictive scheduling tools, invest in a more efficient hiring platform, implement labor-related compliance monitoring systems, and deploy biometrically controlled time & attendance systems."
What is the trend for beef prices in 2021 compared to 2020 and 2019?,"Beef prices increased by an average of ~36% in 2021, lapping a -12% in 2020, reflecting an increase of ~20% vs 2019."
What are the 2022 spot price forecasts for beef trimmings?,"According to ArrowStream, 2022 spot price forecasts for 50% beef trimmings are down ~10-15% vs 2021, and 90% beef trimmings forecasts are 4-5% above 2021."
What is the current state of coffee prices?,"Coffee prices are at a 10-year high and are expected to remain elevated amidst tight supply, noting ongoing challenging conditions in Brazil, the world’s largest Arabica coffee producer."
What was the trend for cheese prices in 2021 compared to 2020 and 2019?,"Cheese prices were relatively stable throughout 2021, dropping by an average of ~14% following a 12% increase in 2020, and translating to a decrease of ~4% vs 2019."
What are the 2022 spot price forecasts for cheese blocks?,"According to ArrowStream, 2022 spot price forecasts for cheese blocks are ~8% above 2021 prices."
What was the trend for potato prices in 2021 compared to 2019?,"Potato prices were down ~7% in 2021, but prices accelerated in 2H21 near multi-year highs, noting prices were up ~7% vs 2019."
What was the trend for chicken prices in 2021 compared to 2020 and 2019?,"Chicken prices meaningfully accelerated in 2021 to multi-year highs, with chicken costs up ~64% vs 2020, and ~64% vs 2019, noting prices are running at 2x prior year levels."
What are the 2022 spot price forecasts for chicken?,"According to ArrowStream, 2022 spot price forecasts for chicken are down vs 2021, though still meaningfully elevated from prior year levels. The Chicken Breast Index is forecasted to be down ~10%, the Chicken Wing Index is forecasted to be down 13.5-14%, and the Chicken Tender Index is forecasted to be down 8.5-9% vs 2021."
What are some examples of QSR/Fast Casual chains experiencing commodity inflation?,"McDonald’s, Chipotle, Domino’s, Wendy’s, and Jack in the Box have all reported or guided to commodity inflation in 2021 and/or 2022."
What are some factors contributing to commodity inflation in the restaurant industry?,"Factors contributing to commodity inflation in the restaurant industry include elevated paper and packaging costs, freight costs, and supply shortages."
What are some examples of Casual Dining chains experiencing commodity inflation?,"Darden, Texas Roadhouse, and Bloomin’ Brands have all reported or guided to commodity inflation in 2022."
What are some challenges facing restaurants in terms of protecting margins?,"Restaurants are facing a challenging and volatile environment and are seeking to protect margins by offering discounts. Consumer wallets are stretched due to overall inflation, high gas prices, and the government no longer offering robust stimulus, which could lead to greater pushback on prices and more value-conscious behaviors."
What are some strategies that restaurants are pursuing to address value?,Restaurants are likely to offer everyday value as appropriate and pursue strategies with differentiation across dayparts and channels. They are also addressing value through targeted offers at specific dayparts or only available through specific channels.
What simplification initiatives have some companies pursued over the last few years?,"Many companies, such as McDonald’s, Taco Bell, Olive Garden, Shake Shack, etc., have pursued simplification initiatives over the last few years."
What is the impact of labor costs on simplification initiatives?,"The impact of labor costs on simplification initiatives is unclear, but companies may need to balance the benefits of simplification with the need for labor to execute those initiatives."
What are some challenges facing restaurants in terms of limiting operational complexity?,"Restaurants are facing challenges and are expected to be prudent in adding new ingredients, equipment, and processes to limit operational complexity."
What is the current state of value offerings in the restaurant industry?,"Over the last few quarters, there has been a pullback in value amidst elevated across-the-board costs, and both QSR and FSR value offerings are at multi-year lows."
What is the expectation for promotional activity in the restaurant industry?,"The industry is not expected to return to deep discounts, but there may be an uptick from current levels as restaurants look to reaccelerate traffic, likely to ramp during the year."
What factors will impact the magnitude and pace to which value offerings pick up in the restaurant industry?,"The trajectory of commodity costs, as well as the state of the labor environment, will impact the magnitude and pace to which value offerings pick up in the restaurant industry."
What is the importance of everyday value in menu strategy?,Everyday value is important to effectively communicate value propositions and build brand equity among consumers.
What is the expectation for the return of value offerings in 2022?,"Value offerings are expected to return in 2022, likely at higher price points and with smaller portion sizes/fewer premium ingredients."
What are some examples of value offerings from Burger King and McDonald’s?,"Burger King launched the $5 Your Way meal in late December 2021, featuring a Double Whopper Jr., 4-piece nuggets, small fries & small drink. Burger King also launched the $1 Your Way meal in December 2020, offering four items priced at $1 each. McDonald’s also offers value menu items."
How do value offerings help build brand equity among consumers?,Value offerings help build brand equity among consumers by effectively communicating value propositions and attracting value-conscious consumers.
What is the $1 $2 $3 Dollar Menu (D123)?,"The $1 $2 $3 Dollar Menu (D123) is a value menu offered by McDonald’s that gives franchisees flexibility regarding the items offered at each price point, while maintaining a national and cohesive value menu."
"What are some examples of value offerings from Wendy’s, Domino’s, Taco Bell, and Little Caesars?","Wendy’s offers the 4 for $4 Menu, the $5 Biggie Bag, and select breakfast promotions. Domino’s plans to make changes to national value platforms in 2022, and Taco Bell has revamped its value menu with the new Cravings Value Menu. Little Caesars raised the price of its Hot-N-Ready pizza for the first time in nearly 25 years."
What changes will Domino’s make to its national value platforms in 2022?,Domino’s plans to transition the $7.99 carryout deal to online only and reduce the number of wings/boneless chicken by 20%.
What is the new value menu offered by Taco Bell?,"Taco Bell has revamped its value menu with the new Cravings Value Menu, which replaces the $1 Value Cravings Menu and offers fewer items for $1."
What is the longstanding $5 national price point?,The longstanding $5 national price point is a value offer that has been around for a while.
What are some ways that restaurants differentiate value offers across channels?,"Restaurants offer digital-exclusive deals to encourage digital utilization, exclude delivery from value offers or provide different delivery value offers, and limit deals to pickup and drive-thru transactions to maximize profitability and avoid unnecessary sales dilution."
What is the $5 Big Box deal from Popeyes?,"The $5 Big Box deal from Popeyes is a value offer that is available for $5 exclusively through digital channels, with a $6 Big Box deal to be offered for in-store and drive-thru orders."
How can companies with more sophisticated analytical and personalization capabilities incentivize behaviors?,Companies with more sophisticated analytical and personalization capabilities can do one-to-one targeting and offer personalized value offers.
How can restaurants encourage behavior across dayparts?,"Restaurants can encourage behavior across dayparts by giving offers to try non-core dayparts, such as if a customer only comes for breakfast, giving an offer to try lunch or dinner."
How can restaurants leverage value offers to target non-core dayparts?,"Restaurants can leverage value offers to target non-core dayparts, unlocking capacity at peak and encouraging customers to visit during lower-traffic times. Starbucks and Dunkin’ have historically run happy hour and afternoon promotions, respectively, to encourage traffic during non-core dayparts."
How can restaurants leverage value offers to encourage trial of new products?,Restaurants can leverage value offers to encourage trial of new products by sending personalized recommendations to specific customer cohorts to expand the breadth of what they are willing to try. Starbucks and Chipotle are examples of companies that run targeted offers to encourage customers to try new products.
How can loyalty programs benefit restaurants?,"Loyalty programs are effectively discount tools that reward and/or encourage specific behaviors, and they become more powerful over time as companies capture and analyze more data, and can immediately tag new members into prescribed cohorts."
What are some examples of virtual brands launched by restaurants?,"Restaurants have launched virtual brands that are only available through digital channels, such as It’s Just Wings by Brinker and Tender Shack by Bloomin’ Brands."
How can restaurants create new marketable meals without adding complexity?,Restaurants can leverage existing ingredients to create new marketable meals without adding complexity to the restaurant.
How have restaurants addressed new occasions for family meals?,"Restaurants have rolled out bundle meals to address new occasions for family meals as consumption needs have changed amidst a greater shift to working from home and remote learning, as well as reduced consumer mobility. Examples include Taco Bell’s At Home Taco Bar kit, Bonefish Grill’s bundle meals, and Darden’s family packs across most of its brands."
What fine dining bundles have been added by Darden?,Darden has added fine dining bundles at Eddie V’s and Capital Grille meant to be prepared at home.
What are some examples of restaurants taking existing ingredients and marketing them as a meal?,"Chipotle offers Lifestyle Bowls and features celebrity/influencer bowls/burritos exclusively through digital channels, while McDonald’s Celebrity Meal promotions offer existing menu items and meals packaged as a new offering."
What is the Menu Hacks promotion launched by McDonald’s?,"McDonald’s launched a Menu Hacks promotion in late January 2022, offering customers the opportunity to build their own “menu hacks” by combining core menu items."
What will new menu innovation focus on?,"We expect new menu innovation will be focused on addressing relevant consumer trends and tastes, whether that be enhancing existing menu items or introducing new ones."
How can restaurants generate new news without the incremental costs of innovation?,"Restaurants can generate new news without the incremental costs of innovation by taking existing ingredients and marketing them as a meal, or by offering existing menu items and meals packaged as a new offering through promotions."
What are some ways that restaurants can improve their competitive positioning?,"Restaurants can improve their competitive positioning by adding extensions to existing platforms or introducing new menu items and platforms, as well as adding more better-for-you items and platforms to increase their breadth of consumers and occasions."
What are some examples of better-for-you items and platforms being added by restaurants?,"Examples include Starbucks’ increased focus on plant-based platforms, Chipotle’s introduction of Plant-Based Chorizo and cauliflower rice, and the introduction of menu options compliant with lifestyle diets."
What plant-based options have been introduced by Starbucks?,"Starbucks has introduced plant-based protein breakfast sandwiches, expanded plant-based dairy options, and introduced new menu products featuring plant-based dairy."
What new menu variations have been introduced by Chipotle?,"Chipotle has introduced new variations of its Lifestyle Bowls featuring the new menu item, Plant-Based Chorizo."
What is the outlook for restaurants as consumer behavior normalizes?,"As consumer behavior normalizes, restaurants are expected to benefit from increased traffic/commuting, an increase in on-premise working and return of conferences, and relief in off-premise channels as dine-in traffic continues to recover, unlocking capacity constraints."
What are some potential risks to average check for restaurants?,"There is a risk to declines in average check, which has benefitted from increases in group ordering, trade up, and digital orders."
What is the outlook for digital orders?,"The outlook for digital orders is largely optimistic, especially as technology capabilities continue to improve."
Have elevated price increases had an impact on restaurants?,It appears that the flowthrough of elevated price increases have been largely consistent for restaurants.
What is the current state of restaurant visits compared to 2019?,"Total visits to restaurants were down 6% compared to 2019, with dine-in visits down 48% and off-premise orders up 20%."
How has traffic for QSR and FSR restaurants been affected compared to 2019?,"QSR traffic was down 4% compared to 2019, while FSR traffic was down 17% compared to 2019."
What has offset reduced restaurant traffic?,"Reduced restaurant traffic has been entirely offset by average check of 14%, driven by elevated pricing as well as mix benefits such as group orders, add-ons, and trade up."
How has restaurant traffic improved throughout the year?,"Total traffic improved throughout the year, with total traffic down 5% in August 2021 compared to 2019, including dine-in visits down 34%."
What do the majority of employees want in terms of work flexibility?,"According to a study by Microsoft about the hybrid work model, the vast majority of employees indicated they want both more flexibility (73%) and in-person work (67%)."
Which group of employees seems to be struggling more with working from home?,"Employees earlier in their careers, such as Gen Z and new employees with less than a year of experience, seem to be struggling more with working from home, with 60% of Gen Z and 64% of new employees indicating they were surviving/struggling, relative to 39% of business leaders."
What percentage of employees are likely to consider leaving their current employer within the next year?,"The study by Microsoft suggests that 41% of respondents are likely to consider leaving their current employer within the next year, including 54% of Gen Z employees."
What is the current level of work from home in the US?,"Based on a monthly survey conducted by three economists studying remote work, work from home accounts for 40%+ of US paid full workdays, which held largely steady throughout 2021, and is up from ~5% pre-COVID."
What is the current record quit rate among employees?,"According to the article, the quit rate among employees has accelerated to a record 3%, and challenges from ""the great resignation"" are impacting businesses across all industries."
What is driving the elevated resignation rate?,"Given the current level of remote work, the elevated resignation rate appears to be driven by factors beyond flexibility."
What are some potential risks and consequences of working remotely?,"Working remotely also has potential risks and consequences, including reduced creativity, impact on culture, and security."
What is the current approach of most companies towards flexibility?,"Most companies have conceded that greater flexibility will be the norm (for now) as they look to bring workers back after two years remote in a tight labor environment with high quit rates, though we wouldn’t be surprised to see greater pressure for full-time on-premise work."
What are some of the topics covered in the article?,"The article covers various topics related to remote work, including implications, mental health impacts, job satisfaction, and efficacy of training."
What have large Silicon Valley companies invested in despite talking positively about prolonged work from home flexibility?,"Several large Silicon Valley companies have invested billions of dollars into campuses intended to enhance creativity, attract and retain employees, build teamwork, and improve the workplace environment, despite talking positively about prolonged work from home flexibility."
What are some examples of large companies investing in physical campuses?,"Google purchased a building in NYC for $2.1BN in September 2021 to serve as the anchor of its new Hudson Square campus, and a London office building for $1BN in January 2022, noting employees need to collaborate to be happy and productive. Amazon is investing $2.5BN in a second headquarters in Virginia. Meta (Facebook) purchased a 400K square foot corporate campus HQ near Seattle."
预制菜属于哪个品类？,预制菜并不属于任何一个品类，涉及的子品类非常多。
预制菜行业的成功关键要素有哪些？,与大食品类相同，预制菜行业的成功关键要素包括资源优势、渠道覆盖和口味粘性。
预制菜的产品定价权如何？,部分预制菜通过掌握原料、差异化产品获取附加值，具备定价权。
预制菜的品类分为哪些？,预制菜的品类分为基础品类和可选品类。基础品类类似基础调味品，而可选品类则包括爆款类熟制品、休闲面点、烘焙等。
预制菜属于哪个品类？,预制菜并不属于任何一个品类，涉及的子品类非常多。
预制菜行业的成功关键要素有哪些？,与大食品类相同，预制菜行业的成功关键要素包括资源优势、渠道覆盖和口味粘性。
预制菜的产品定价权如何？,部分预制菜通过掌握原料、差异化产品获取附加值，具备定价权。
预制菜的品类分为哪些？,预制菜的品类分为基础品类和可选品类。基础品类类似基础调味品，而可选品类则包括爆款类熟制品、休闲面点、烘焙等。
预制菜是如何提升餐饮效率的？,预制菜相比于正常做菜流程，大幅节约了洗切腌制等加工时间，加快出餐速度。
预制菜的附加值在于什么？,预制菜的附加值在于口味还原（加工工艺和口味配方）。
预制菜的品类分为哪两种？,预制菜的品类分为必选品类和可选品类。
